Timeline,Bundle,Family,ข้อมูลผู้ถือกรมธรรม์,ข้อมูลสมาชิกในกรมธรรม์,Status
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีปกติ 1. คนซื้อ + คู่สมรส,"ชื่อ: มารีนี เตชะกำพุ
เลขบัตรประชาชน: 2720964950723
เบอร์โทรศัพท์: 0835099580
อีเมล: max@email.com
ว/ด/ป เกิด: 9 กรกฎาคม 2540
อายุ: 29 ปี 44 วัน","คู่สมรส: มีชีวิต
ชื่อ: ทับทิม ดาวอร่าม
ว/ด/ป เกิด: 8 พฤษภาคม 2547
อายุ: 22 ปี 104 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 74 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 28 ตุลาคม 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 28 ตุลาคม 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีปกติ 2. คนซื้อ + คู่สมรส + ลูก 1,"ชื่อ: กะดิรัตน์ นฤทุกข์
เลขบัตรประชาชน: 7659150468571
เบอร์โทรศัพท์: 0884983186
อีเมล: robert@email.com
ว/ด/ป เกิด: 21 พฤศจิกายน 2540
อายุ: 28 ปี 274 วัน","คู่สมรส: มีชีวิต
ชื่อ: ฉลองชัย สังข์กรด
ว/ด/ป เกิด: 28 ธันวาคม 2544
อายุ: 24 ปี 236 วัน

บุตรคนที่ 1: มีชีวิต
ชื่อ: สุรวัช จันทา
ว/ด/ป เกิด: 28 สิงหาคม 2560
อายุ: 8 ปี 354 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 51 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 5 ตุลาคม 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 5 ตุลาคม 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีปกติ 3. คนซื้อ + คู่สมรส + ลูก 2,"ชื่อ: พรพิไล ดาบเพ็ชร์
เลขบัตรประชาชน: 3791190341938
เบอร์โทรศัพท์: 0817957705
อีเมล: heather@email.com
ว/ด/ป เกิด: 9 ธันวาคม 2545
อายุ: 23 ปี 255 วัน","คู่สมรส: มีชีวิต
ชื่อ: ดิลก ถนอมพลกรัง
ว/ด/ป เกิด: 16 เมษายน 2541
อายุ: 28 ปี 128 วัน

บุตรคนที่ 2: มีชีวิต
ชื่อ: จิณภัทตา ตันยา
ว/ด/ป เกิด: 13 มกราคม 2567
อายุ: 2 ปี 215 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 55 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 9 ตุลาคม 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 9 ตุลาคม 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีปกติ 4. คนซื้อ + ลูก 1,"ชื่อ: สุธาวี ธรรมฤดี
เลขบัตรประชาชน: 0158581325822
เบอร์โทรศัพท์: 0806820406
อีเมล: jenna@email.com
ว/ด/ป เกิด: 30 กรกฎาคม 2540
อายุ: 29 ปี 23 วัน","บุตรคนที่ 1: มีชีวิต
ชื่อ: ประจิน นิลเสนา
ว/ด/ป เกิด: 9 มกราคม 2560
อายุ: 9 ปี 220 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 83 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 6 พฤศจิกายน 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 6 พฤศจิกายน 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีปกติ 5. คนซื้อ + ลูก 2,"ชื่อ: ภานิณี ไชยภา
เลขบัตรประชาชน: 5274274580775
เบอร์โทรศัพท์: 0822464511
อีเมล: jeremy@email.com
ว/ด/ป เกิด: 2 พฤษภาคม 2543
อายุ: 26 ปี 111 วัน","บุตรคนที่ 2: มีชีวิต
ชื่อ: มะลีวัลย์ ดาตู
ว/ด/ป เกิด: 26 กันยายน 2558
อายุ: 10 ปี 326 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 55 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 9 ตุลาคม 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 9 ตุลาคม 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีบุตรและคู่สมรสอายุเกิน,"ชื่อ: จด นุ่มกัน
เลขบัตรประชาชน: 5944123682866
เบอร์โทรศัพท์: 0843182193
อีเมล: michael@email.com
ว/ด/ป เกิด: 14 ตุลาคม 2543
อายุ: 25 ปี 311 วัน","คู่สมรส: มีชีวิต
ชื่อ: แปลง ศรีอุ่น
ว/ด/ป เกิด: 29 กรกฎาคม 2504
อายุ: 65 ปี 33 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 61 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 15 ตุลาคม 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 15 ตุลาคม 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีบุตรและคู่สมรสเสียชีวิต,"ชื่อ: ฐิติกุล แถมธน
เลขบัตรประชาชน: 3454645276418
เบอร์โทรศัพท์: 0836797544
อีเมล: cynthia@email.com
ว/ด/ป เกิด: 4 กุมภาพันธ์ 2542
อายุ: 27 ปี 199 วัน","คู่สมรส: เสียชีวิต
ชื่อ: บุญเอก แท่นทอง
ว/ด/ป เกิด: 21 กุมภาพันธ์ 2548
อายุ: 21 ปี 180 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 86 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 9 พฤศจิกายน 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 9 พฤศจิกายน 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีบุตร 1 คนอายุเกินและคู่สมรสอายุเกิน,"ชื่อ: ปภาวรินทร์ วุฑฒยากร
เลขบัตรประชาชน: 4262042037894
เบอร์โทรศัพท์: 0859197807
อีเมล: christopher@email.com
ว/ด/ป เกิด: 20 สิงหาคม 2546
อายุ: 23 ปี 1 วัน","คู่สมรส: มีชีวิต
ชื่อ: คำ ถาวระวรณ์
ว/ด/ป เกิด: 12 มกราคม 2504
อายุ: 65 ปี 231 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 34 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 18 กันยายน 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 18 กันยายน 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีคู่สมรสอายุเกิน,"ชื่อ: ดวงสมร นิยมเซียม
เลขบัตรประชาชน: 4442300386517
เบอร์โทรศัพท์: 0853033597
อีเมล: andrew@email.com
ว/ด/ป เกิด: 25 มกราคม 2541
อายุ: 28 ปี 209 วัน","คู่สมรส: มีชีวิต
ชื่อ: ปรายกานต์ ยะผา
ว/ด/ป เกิด: 19 มีนาคม 2504
อายุ: 65 ปี 165 วัน","จำนวนวันที่ต่ออายุล่วงหน้า: 77 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 31 ตุลาคม 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 31 ตุลาคม 2568"
90 - 30 วันล่วงหน้า,SCK Personal + SCK Family,กรณีบุตร 1 คน อายุเกิน,"ชื่อ: สุทธิพจน์ เขียวขุ้ย
เลขบัตรประชาชน: 1882868634321
เบอร์โทรศัพท์: 0839372600
อีเมล: lisa@email.com
ว/ด/ป เกิด: 25 สิงหาคม 2540
อายุ: 28 ปี 362 วัน",,"จำนวนวันที่ต่ออายุล่วงหน้า: 64 วัน
วันที่ต่ออายุ: 15 สิงหาคม 2569
วันสิ้นสุดความคุ้มครอง: 18 ตุลาคม 2569
วันเริ่มสัญญาฉบับปัจจุบัน: 18 ตุลาคม 2568"
